Pfad,Titel,OriginalKategorie,KategorieAI4,Language
"create_video_presentation_plan.md","Create Video Presentation Plan","Content Creation","AI 4 Content","en"
"monthly_recurring_revenue_marketing.md","Monthly Recurring Revenue Marketing","Content Creation","AI 4 Content","en"
"restaurant_search_app_plan.md","Restaurant Search App Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"resale_store_launch_plan.md","Resale Store Launch Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"InstagramAIReelsStrategy.md","Instagramaireelsstrategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"digital_marketing_strategy_with_ai.md","Digital Marketing Strategy With Ai","Content Creation","AI 4 Content","en"
"digital_product_ideas_for_real_estate_agents.md","Digital Product Ideas For Real Estate Agents","Product Managers","AI 4 Produkt","en"
"nih_grant_writing_guide.md","Nih Grant Writing Guide","Content Creation","AI 4 Content","en"
"dropshipping_guide.md","Dropshipping Guide","","AI 4 UNK","en"
"create_venn_diagram.md","Create Venn Diagram","Visualizations","AI 4 Visuals","en"
"write_essay.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"docent_training_guide.md","Docent Training Guide","","AI 4 UNK","en"
"ai_solutions_for_executive_assistants.md","Ai Solutions For Executive Assistants","","AI 4 UNK","en"
"fantasy_football_strategy.md","Fantasy Football Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"faceless_tiktok_guidance.md","Faceless Tiktok Guidance","","AI 4 UNK","en"
"credit_card_management_guide.md","Credit Card Management Guide","","AI 4 UNK","en"
"create_pricing_strategy.md","Create Pricing Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"CanvaIntegration.md","Canvaintegration","","AI 4 UNK","en"
"build_saas_product_guide.md","Build Saas Product Guide","Product Managers","AI 4 Produkt","en"
"faceless_tiktok_guide.md","Faceless Tiktok Guide","","AI 4 UNK","en"
"study_plan_creation.md","Study Plan Creation","Entrepreneurs","AI 4 Entrepreneurship","en"
"attraction_marketing_guide.md","Attraction Marketing Guide","Content Creation","AI 4 Content","en"
"gather_freelance_contacts.md","Gather Freelance Contacts","","AI 4 UNK","en"
"faceless_tiktok_channel_plan.md","Faceless Tiktok Channel Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_youtube_competitors.md","Analyze Youtube Competitors","Analyze Text","AI 4 Textanalyse","en"
"build_social_media_following_guide.md","Build Social Media Following Guide","Content Creation","AI 4 Content","en"
"utilitarianism_analysis.md","Utilitarianism Analysis","Analyze Text","AI 4 Textanalyse","en"
"quick_bible_facts.md","Quick Bible Facts","","AI 4 UNK","en"
"create_flyer_for_prayer_meeting.md","Create Flyer For Prayer Meeting","Meetings","AI 4 Meetings","en"
"create_buyer_persona.md","Create Buyer Persona","","AI 4 UNK","en"
"job_application_assistance.md","Job Application Assistance","Job Search","AI 4 Karriere","en"
"create_research_paper_topic.md","Create Research Paper Topic","","AI 4 UNK","en"
"start_company_guide.md","Start Company Guide","Creative Arts","AI 4 Kreativität","en"
"faceless_video_generator.md","Faceless Video Generator","Content Creation","AI 4 Content","en"
"extract_song_meaning.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"create_social_media_posts_for_senior_care.md","Create Social Media Posts For Senior Care","Content Creation","AI 4 Content","en"
"create_digital_product_templates.md","Create Digital Product Templates","Product Managers","AI 4 Produkt","en"
"create_art_prompt.md","Create Art Prompt","Creative Arts","AI 4 Kreativität","en"
"year_end_self_review.md","Year End Self Review","","AI 4 UNK","en"
"medical_record_translation.md","Medical Record Translation","","AI 4 UNK","en"
"Create Book Idea.md","Create Book Idea","","AI 4 UNK","en"
"Comic Book Writing Guide.md","Comic Book Writing Guide","Content Creation","AI 4 Content","en"
"create_markmap_visualization.md","IDENTITY and PURPOSE","Visualizations","AI 4 Visuals","en"
"Connect Chapters Cohesively.md","Connect Chapters Cohesively","","AI 4 UNK","en"
"dog_butts_coloring_book.md","Dog Butts Coloring Book","Creative Arts","AI 4 Kreativität","en"
"create_kids_program_budget.md","Create Kids Program Budget","","AI 4 UNK","en"
"brainstorm_business_ideas.md","Brainstorm Business Ideas","Entrepreneurs","AI 4 Entrepreneurship","en"
"transcribing_tiktok_videos.md","Transcribing Tiktok Videos","Content Creation","AI 4 Content","en"
"Create Facebook Post.md","Create Facebook Post","Content Creation","AI 4 Content","en"
"pain_points_of_solopreneurs.md","Pain Points Of Solopreneurs","","AI 4 UNK","en"
"storytelling_course.md","Storytelling Course","Creative Arts","AI 4 Kreativität","en"
"marcus_garvey_overview.md","Marcus Garvey Overview","","AI 4 UNK","en"
"write_post_PAS_framework.md","Write Post Pas Framework","Content Creation","AI 4 Content","en"
"business_strategy_development.md","Business Strategy Development","Entrepreneurs","AI 4 Entrepreneurship","en"
"songwriting_success_guide.md","Songwriting Success Guide","Content Creation","AI 4 Content","en"
"assessing_ai_integration_agenda.md","Assessing Ai Integration Agenda","Meetings","AI 4 Meetings","en"
"find_entrepreneurs_strategy.md","Find Entrepreneurs Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"covered_call_strategies.md","Covered Call Strategies","","AI 4 UNK","en"
"analyze_tiktok_media_stage.md","Analyze Tiktok Media Stage","Analyze Text","AI 4 Textanalyse","en"
"create_standout_cv.md","Create Standout Cv","Job Search","AI 4 Karriere","en"
"effective_motivation_strategies.md","Effective Motivation Strategies","","AI 4 UNK","en"
"real_estate_app_plan.md","Real Estate App Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"book_summary_creator.md","Book Summary Creator","Analyze Text","AI 4 Textanalyse","en"
"real_estate_proforma_analysis.md","Real Estate Proforma Analysis","Analyze Text","AI 4 Textanalyse","en"
"automated_trading_bot_guide.md","Automated Trading Bot Guide","","AI 4 UNK","en"
"restaurante_garden_business_plan.md","Restaurante Garden Business Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"Early Childhood Curriculum.md","Early Childhood Curriculum","Students & School","AI 4 Schule","en"
"label_and_rate.md","Label And Rate","","AI 4 UNK","en"
"find_logical_fallacies.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"analyze_data_breaches.md","Analyze Data Breaches","Analyze Text","AI 4 Textanalyse","en"
"create_api_specification.md","Create Api Specification","Software Engineers","AI 4 Engineering","en"
"analyze_investment_opportunities.md","Analyze Investment Opportunities","Analyze Text","AI 4 Textanalyse","en"
"identify_target_market_strategies.md","Identify Target Market Strategies","","AI 4 UNK","en"
"write_video_script.md","Write Video Script","Content Creation","AI 4 Content","en"
"create_comprehensive_prompt.md","Create Comprehensive Prompt","Prompt Management","AI 4 PromptOps","en"
"explain_medical_test_results.md","Explain Medical Test Results","","AI 4 UNK","en"
"summarize_and_extract_action_items.md","Summarize And Extract Action Items","Analyze Text","AI 4 Textanalyse","en"
"review_airbnb_stay.md","Review Airbnb Stay","","AI 4 UNK","en"
"creating_a_professional_resume.md","Creating A Professional Resume","Job Search","AI 4 Karriere","en"
"Government Contract Opportunities.md","Government Contract Opportunities","Lawyers","AI 4 Legal","en"
"Rise With SAP Overview.md","Rise With Sap Overview","","AI 4 UNK","en"
"write_3_tips_post.md","Write 3 Tips Post","Content Creation","AI 4 Content","en"
"extract_references.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_vision_and_goals.md","Create Vision And Goals","","AI 4 UNK","en"
"email_templates_for_job_search.md","Email Templates For Job Search","Content Creation","AI 4 Content","en"
"create_competence_cloud.md","Create Competence Cloud","","AI 4 UNK","en"
"analyze_funding_solicitation.md","Analyze Funding Solicitation","Analyze Text","AI 4 Textanalyse","en"
"research_proposal_assistance.md","Research Proposal Assistance","","AI 4 UNK","en"
"self_improvement_techniques.md","Self Improvement Techniques","","AI 4 UNK","en"
"modify_ai_content_strategies.md","Modify Ai Content Strategies","Content Creation","AI 4 Content","en"
"create_pattern.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_aphorisms.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_marketing_strategy.md","Create Marketing Strategy","Content Creation","AI 4 Content","en"
"explore_mandalas_and_sacred_forms.md","Explore Mandalas And Sacred Forms","","AI 4 UNK","en"
"create_facebook_ad_creative.md","Create Facebook Ad Creative","Creative Arts","AI 4 Kreativität","en"
"self_help_journey_guide.md","Self Help Journey Guide","","AI 4 UNK","en"
"coloring_book_business_ideas.md","Coloring Book Business Ideas","Creative Arts","AI 4 Kreativität","en"
"analyze_legal_personality_disregard.md","Analyze Legal Personality Disregard","Analyze Text","AI 4 Textanalyse","en"
"service_desk_development_plan.md","Service Desk Development Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"adhd_characters_dialogue.md","Adhd Characters Dialogue","","AI 4 UNK","en"
"summarize_pull-requests.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"ai_business_enhancement_guide.md","Ai Business Enhancement Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_tiktok_video_automation.md","Create Tiktok Video Automation","Content Creation","AI 4 Content","en"
"create_business_incubation_system_guide.md","Create Business Incubation System Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"digital_marketing_course_outline.md","Digital Marketing Course Outline","Content Creation","AI 4 Content","en"
"contracts_plain_language_review.md","Contracts Plain Language Review","Lawyers","AI 4 Legal","en"
"audience_analysis_strategies.md","Audience Analysis Strategies","Analyze Text","AI 4 Textanalyse","en"
"envision_your_dream_life.md","Envision Your Dream Life","","AI 4 UNK","en"
"create_time_management_course.md","Create Time Management Course","","AI 4 UNK","en"
"research_and_validate_business_idea.md","Research And Validate Business Idea","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_coloring_book_page.md","Create Coloring Book Page","Creative Arts","AI 4 Kreativität","en"
"create_real_estate_listing.md","IDENTITY and PURPOSE","Real Estate","AI 4 Real Estate","en"
"AI Automation Guide.md","Ai Automation Guide","","AI 4 UNK","en"
"chart_generator_appointment_scheduler.md","Chart Generator Appointment Scheduler","Creative Arts","AI 4 Kreativität","en"
"edit_comic_effectively.md","Edit Comic Effectively","Creative Arts","AI 4 Kreativität","en"
"create_security_update.md","IDENTITY and PURPOSE","Cybersecurity","AI 4 Security","en"
"career_reintegration_guide.md","Career Reintegration Guide","Job Search","AI 4 Karriere","en"
"succession_planning_for_schools.md","Succession Planning For Schools","Entrepreneurs","AI 4 Entrepreneurship","en"
"transform_video_transcript.md","Transform Video Transcript","Content Creation","AI 4 Content","en"
"leverage_ai_for_bid_responses.md","Leverage Ai For Bid Responses","","AI 4 UNK","en"
"analyze_data_insights.md","Analyze Data Insights","Analyze Text","AI 4 Textanalyse","en"
"veterinary_franchise_guide.md","Veterinary Franchise Guide","","AI 4 UNK","en"
"summarize_prompt.md","Summarize Prompt","Analyze Text","AI 4 Textanalyse","en"
"get_wow_per_minute.md","IDENTITY","","AI 4 UNK","en"
"Career Transition Guide.md","Career Transition Guide","Job Search","AI 4 Karriere","en"
"comprehensive_guide_on_prompt_engineering.md","Comprehensive Guide On Prompt Engineering","Prompt Management","AI 4 PromptOps","en"
"poker_guide.md","Poker Guide","","AI 4 UNK","en"
"find_experts_for_redcap_aws_integration.md","Find Experts For Redcap Aws Integration","","AI 4 UNK","en"
"create_presentation_outline.md","Create Presentation Outline","","AI 4 UNK","en"
"summarize_newsletter.md","Summarize Newsletter","Analyze Text","AI 4 Textanalyse","en"
"analyze_tech_impact.md","Analyze Tech Impact","Analyze Text","AI 4 Textanalyse","en"
"create_technology_course_outline.md","Create Technology Course Outline","","AI 4 UNK","en"
"economic_impact_unsafe_construction.md","Economic Impact Unsafe Construction","","AI 4 UNK","en"
"motivation_for_cybersecurity_job_seekers.md","Motivation For Cybersecurity Job Seekers","Cybersecurity","AI 4 Security","en"
"faceless_video_app.md","Faceless Video App","Content Creation","AI 4 Content","en"
"show_fabric_options_markmap.md","IDENTITY AND GOALS","","AI 4 UNK","en"
"analyze_trading_card_sales.md","Analyze Trading Card Sales","Analyze Text","AI 4 Textanalyse","en"
"managing_adhd_daily_tasks.md","Managing Adhd Daily Tasks","","AI 4 UNK","en"
"analyze_cryptocurrency_project.md","Analyze Cryptocurrency Project","Analyze Text","AI 4 Textanalyse","en"
"analyze_debate.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"extract_wisdom.md","Extract Wisdom","Analyze Text","AI 4 Textanalyse","en"
"create_content_outline.md","Create Content Outline","Content Creation","AI 4 Content","en"
"analyze_presentation_structure.md","Analyze Presentation Structure","Analyze Text","AI 4 Textanalyse","en"
"music_composition_guide.md","Music Composition Guide","Creative Arts","AI 4 Kreativität","en"
"rate_ai_response.md","IDENTITY","","AI 4 UNK","en"
"bodybuilding_program_guide.md","Bodybuilding Program Guide","","AI 4 UNK","en"
"improve_fable_structure.md","Improve Fable Structure","","AI 4 UNK","en"
"create_cyber_summary.md","Create Cyber Summary","Analyze Text","AI 4 Textanalyse","en"
"faceless_ai_overview.md","Faceless Ai Overview","","AI 4 UNK","en"
"create_academic_paper.md","Create Academic Paper","","AI 4 UNK","en"
"analyze_answers.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"extract_questions.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"optimize_website_seo_and_ux.md","Optimize Website Seo And Ux","","AI 4 UNK","en"
"residency_permit_app.md","Residency Permit App","","AI 4 UNK","en"
"newsletter_development_plan.md","Newsletter Development Plan","Content Creation","AI 4 Content","en"
"create_coding_project.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_children's_storybook_concept.md","Create Children's Storybook Concept","Creative Arts","AI 4 Kreativität","en"
"create_investment_strategy.md","Create Investment Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_pride_themed_coloring_book.md","Create Pride Themed Coloring Book","Creative Arts","AI 4 Kreativität","en"
"explain_project.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"sales_funnel_design_guide.md","Sales Funnel Design Guide","Creative Arts","AI 4 Kreativität","en"
"create_nclex_study_guide.md","Create Nclex Study Guide","Students & School","AI 4 Schule","en"
"career_exploration_prompt.md","Career Exploration Prompt","Job Search","AI 4 Karriere","en"
"social_media_engagement_strategies.md","Social Media Engagement Strategies","Content Creation","AI 4 Content","en"
"enhancing_self_esteem_guide.md","Enhancing Self Esteem Guide","","AI 4 UNK","en"
"write_linkedin_message.md","Write Linkedin Message","Content Creation","AI 4 Content","en"
"african_folk_tale_creation.md","African Folk Tale Creation","","AI 4 UNK","en"
"create_threat_scenarios.md","IDENTITY and PURPOSE","Cybersecurity","AI 4 Security","en"
"create_network_threat_landscape.md","IDENTITY and PURPOSE","Cybersecurity","AI 4 Security","en"
"automated_trading_bots_and_women_in_management.md","Automated Trading Bots And Women In Management","","AI 4 UNK","en"
"aligning_learning_outcomes_process.md","Aligning Learning Outcomes Process","","AI 4 UNK","en"
"Instagram Growth Strategy.md","Instagram Growth Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"career_plan_for_engineers.md","Career Plan For Engineers","Entrepreneurs","AI 4 Entrepreneurship","en"
"social_media_strategy_for_law_firms.md","Social Media Strategy For Law Firms","Content Creation","AI 4 Content","en"
"peterbilt_truck_parts_course_outline.md","Peterbilt Truck Parts Course Outline","Creative Arts","AI 4 Kreativität","en"
"marketing_insights_ebook_outline.md","Marketing Insights Ebook Outline","Content Creation","AI 4 Content","en"
"uk_tax_consultancy_guide.md","Uk Tax Consultancy Guide","","AI 4 UNK","en"
"extract_book_ideas.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"Create Financial Literacy Course.md","Create Financial Literacy Course","","AI 4 UNK","en"
"create_product_description.md","Create Product Description","Content Creation","AI 4 Content","en"
"survey_design_framework.md","Survey Design Framework","Creative Arts","AI 4 Kreativität","en"
"ai_automation_for_businesses.md","Ai Automation For Businesses","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_faceless_video_content.md","Create Faceless Video Content","Content Creation","AI 4 Content","en"
"crafting_your_dating_story.md","Crafting Your Dating Story","Creative Arts","AI 4 Kreativität","en"
"create_business_plan.md","Create Business Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_twitter_thread.md","Create Twitter Thread","","AI 4 UNK","en"
"homocysteine_measurement_organizations.md","Homocysteine Measurement Organizations","","AI 4 UNK","en"
"career_exploration_program.md","Career Exploration Program","Job Search","AI 4 Karriere","en"
"create_comprehensive_unit_plan.md","Create Comprehensive Unit Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"data_governance_frameworks.md","Data Governance Frameworks","","AI 4 UNK","en"
"organizational_review_strategy.md","Organizational Review Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_compelling_website_copy.md","Create Compelling Website Copy","Content Creation","AI 4 Content","en"
"craft_effective_midjourney_prompts.md","Craft Effective Midjourney Prompts","Prompt Management","AI 4 PromptOps","en"
"corporate_structure_guide.md","Corporate Structure Guide","","AI 4 UNK","en"
"extract_recommendations.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"careers_presentation_overview.md","Careers Presentation Overview","Job Search","AI 4 Karriere","en"
"extract_patterns.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"tweet.md","Tweet","","AI 4 UNK","en"
"chihuahua_grumpiness_outline.md","Chihuahua Grumpiness Outline","","AI 4 UNK","en"
"social_media_campaign_guide.md","Social Media Campaign Guide","Content Creation","AI 4 Content","en"
"create_client_acquisition_strategy.md","Create Client Acquisition Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"dietary_supplements_regulation_overview.md","Dietary Supplements Regulation Overview","","AI 4 UNK","en"
"repurposing_content_plan.md","Repurposing Content Plan","Content Creation","AI 4 Content","en"
"create_video_sales_letter_script.md","Create Video Sales Letter Script","Content Creation","AI 4 Content","en"
"find_ai_tools_for_data_analysis.md","Find Ai Tools For Data Analysis","Analyze Text","AI 4 Textanalyse","en"
"organize_chatgpt_conversations.md","Organize Chatgpt Conversations","","AI 4 UNK","en"
"rate_ai_result.md","IDENTITY AND GOALS","","AI 4 UNK","en"
"write_linkedin_structured_bullets_post.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"create_5_sentence_summary.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"evaluate_notion_templates.md","Evaluate Notion Templates","","AI 4 UNK","en"
"find_clients_for_business_coaching.md","Find Clients For Business Coaching","Coaching","AI 4 Coaching","en"
"options_contracts_overview.md","Options Contracts Overview","Lawyers","AI 4 Legal","en"
"maximize_potential_and_confidence_advice.md","Maximize Potential And Confidence Advice","","AI 4 UNK","en"
"franchise_expansion_plan.md","Franchise Expansion Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_ai_business_guide.md","Create Ai Business Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"hackathon_ai_workshop_outline.md","Hackathon Ai Workshop Outline","","AI 4 UNK","en"
"designing_corporate_structures.md","Designing Corporate Structures","Creative Arts","AI 4 Kreativität","en"
"write_nuclei_template_rule.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"forex_course_outline.md","Forex Course Outline","","AI 4 UNK","en"
"create_excel_ticket_sales_form.md","Create Excel Ticket Sales Form","Entrepreneurs","AI 4 Entrepreneurship","en"
"coaching_business_setup_guide.md","Coaching Business Setup Guide","Coaching","AI 4 Coaching","en"
"Marcus Garvey Influence on Reggae.md","Marcus Garvey Influence On Reggae","","AI 4 UNK","en"
"automation_overview.md","Automation Overview","","AI 4 UNK","en"
"brainstorm_podcast_ideas.md","Brainstorm Podcast Ideas","","AI 4 UNK","en"
"linkedin_profile_summary.md","Linkedin Profile Summary","Analyze Text","AI 4 Textanalyse","en"
"Marketing Content Strategies.md","Marketing Content Strategies","Content Creation","AI 4 Content","en"
"mathematics_lesson_plan.md","Mathematics Lesson Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"ask_secure_by_design_questions.md","IDENTITY","Creative Arts","AI 4 Kreativität","en"
"massage_therapist_curriculum_design.md","Massage Therapist Curriculum Design","Creative Arts","AI 4 Kreativität","en"
"proofread_document.md","Proofread Document","","AI 4 UNK","en"
"create_upgrade_pack.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_5_engaging_questions.md","Create 5 Engaging Questions","","AI 4 UNK","en"
"digital_wallet_for_african_fintechs.md","Digital Wallet For African Fintechs","Software Engineers","AI 4 Engineering","en"
"survey_analysis_report.md","Survey Analysis Report","Analyze Text","AI 4 Textanalyse","en"
"home_daycare_lesson_plan.md","Home Daycare Lesson Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_privacy_policy.md","Create Privacy Policy","Lawyers","AI 4 Legal","en"
"create_e_learning_training_manuals.md","Create E Learning Training Manuals","","AI 4 UNK","en"
"integrate_chatbot_guide.md","Integrate Chatbot Guide","","AI 4 UNK","en"
"adhd_and_autism_management_guide.md","Adhd And Autism Management Guide","","AI 4 UNK","en"
"provide_guidance.md","Provide Guidance","","AI 4 UNK","en"
"renting_strategy_guide.md","Renting Strategy Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_summer_internship_spreadsheet.md","Create Summer Internship Spreadsheet","","AI 4 UNK","en"
"daycare_pitch_deck.md","Daycare Pitch Deck","","AI 4 UNK","en"
"analyze_resume_transition.md","Analyze Resume Transition","Analyze Text","AI 4 Textanalyse","en"
"extract_content_from_youtube_and_podcasts.md","Extract Content From Youtube And Podcasts","Analyze Text","AI 4 Textanalyse","en"
"ReviewIctPolicies.md","Reviewictpolicies","","AI 4 UNK","en"
"alibaba_supplier_engagement_guide.md","Alibaba Supplier Engagement Guide","","AI 4 UNK","en"
"organizational_strategies.md","Organizational Strategies","","AI 4 UNK","en"
"sales_performance_report_template.md","Sales Performance Report Template","Entrepreneurs","AI 4 Entrepreneurship","en"
"brainstorm_ideas_interactive_quizzes.md","Brainstorm Ideas Interactive Quizzes","","AI 4 UNK","en"
"dyslexia_reading_tutor_plan.md","Dyslexia Reading Tutor Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"network_personal_ad.md","Network Personal Ad","","AI 4 UNK","en"
"ai_in_fictional_video_production.md","Ai In Fictional Video Production","Content Creation","AI 4 Content","en"
"create_persuasive_campaign_article.md","Create Persuasive Campaign Article","Creative Arts","AI 4 Kreativität","en"
"starting_virtual_assistant_business.md","Starting Virtual Assistant Business","Creative Arts","AI 4 Kreativität","en"
"extract_wisdom_nometa.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_medical_aid_claims_company.md","Create Medical Aid Claims Company","","AI 4 UNK","en"
"analyze_logs.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"achieving_spotify_success_playbook.md","Achieving Spotify Success Playbook","","AI 4 UNK","en"
"AI_Product_Guide.md","Ai Product Guide","Product Managers","AI 4 Produkt","en"
"marijuana_legal_landscape.md","Marijuana Legal Landscape","Lawyers","AI 4 Legal","en"
"create_cybersecurity_audit_guide.md","Create Cybersecurity Audit Guide","Cybersecurity","AI 4 Security","en"
"eb2_niw_green_card_petition.md","Eb2 Niw Green Card Petition","","AI 4 UNK","en"
"enhance_business_strategy_using_ai.md","Enhance Business Strategy Using Ai","Entrepreneurs","AI 4 Entrepreneurship","en"
"seo_travel_blog_guide.md","Seo Travel Blog Guide","Content Creation","AI 4 Content","en"
"ai_experiments_visual_content_ideas.md","Ai Experiments Visual Content Ideas","Content Creation","AI 4 Content","en"
"goal_setting_and_achievement.md","Goal Setting And Achievement","","AI 4 UNK","en"
"auditing_educational_content.md","Auditing Educational Content","Content Creation","AI 4 Content","en"
"create_real_estate_tenant_questionnaire.md","Create Real Estate Tenant Questionnaire","Real Estate","AI 4 Real Estate","en"
"budgeting_for_savings_and_investments.md","Budgeting For Savings And Investments","","AI 4 UNK","en"
"design_ai_empire.md","Design Ai Empire","Creative Arts","AI 4 Kreativität","en"
"search_function_enhancement.md","Search Function Enhancement","","AI 4 UNK","en"
"cognitive_health_promotion.md","Cognitive Health Promotion","Psychology","AI 4 Psychologie","en"
"industry_analysis_overview.md","Industry Analysis Overview","Analyze Text","AI 4 Textanalyse","en"
"virtual_learning_platform_plan.md","Virtual Learning Platform Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"developing_transport_app.md","Developing Transport App","","AI 4 UNK","en"
"analyze_career_transition_goals.md","Analyze Career Transition Goals","Analyze Text","AI 4 Textanalyse","en"
"create_prompt_for_clarification.md","Create Prompt For Clarification","Prompt Management","AI 4 PromptOps","en"
"overview_construction_process.md","Overview Construction Process","","AI 4 UNK","en"
"log_book_development_ideas.md","Log Book Development Ideas","","AI 4 UNK","en"
"extract_article_wisdom.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"instagram_strategy_for_wellness_coaches.md","Instagram Strategy For Wellness Coaches","Coaching","AI 4 Coaching","en"
"analyze_personality.md","Analyze Personality","Analyze Text","AI 4 Textanalyse","en"
"analyze_spiritual_text.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_5_product_ideas.md","Create 5 Product Ideas","Product Managers","AI 4 Produkt","en"
"improve_prompt.md","Improve Prompt","Prompt Management","AI 4 PromptOps","en"
