Pfad,Titel,OriginalKategorie,KategorieAI4,Language
"marcus_garvey_and_reggae_influence.md","Marcus Garvey And Reggae Influence","","AI 4 UNK","en"
"comprehensive_business_plan_guide.md","Comprehensive Business Plan Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"email_follow_up_essentials.md","Email Follow Up Essentials","Content Creation","AI 4 Content","en"
"apply_financial_aid_private_schools.md","Apply Financial Aid Private Schools","Students & School","AI 4 Schule","en"
"ai_fundamentals_and_resources.md","Ai Fundamentals And Resources","Psychology","AI 4 Psychologie","en"
"compare_and_contrast.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"prioritize_goals.md","Prioritize Goals","","AI 4 UNK","en"
"transform_interior_design_style.md","Transform Interior Design Style","Creative Arts","AI 4 Kreativität","en"
"create_tiktok_strategy.md","Create Tiktok Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_coloring_book_concept.md","Create Coloring Book Concept","Creative Arts","AI 4 Kreativität","en"
"instagram_strategy_guide.md","Instagram Strategy Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_ugc_script.md","Create Ugc Script","Content Creation","AI 4 Content","en"
"improve_marketing_skills.md","Improve Marketing Skills","Content Creation","AI 4 Content","en"
"extract_business_ideas.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"adjusting_to_night_shift.md","Adjusting To Night Shift","","AI 4 UNK","en"
"analyze_responses.md","Analyze Responses","Analyze Text","AI 4 Textanalyse","en"
"create_reading_plan.md","IDENTITY and PURPOSE","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_data_breach_implications.md","Analyze Data Breach Implications","Analyze Text","AI 4 Textanalyse","en"
"opendoor_research_report.md","Opendoor Research Report","","AI 4 UNK","en"
"create_compelling_first_person_text.md","Create Compelling First Person Text","","AI 4 UNK","en"
"summarize_meeting_notes.md","Summarize Meeting Notes","Analyze Text","AI 4 Textanalyse","en"
"FoundationalNutritionFitnessCourse.md","Foundationalnutritionfitnesscourse","","AI 4 UNK","en"
"business_plan_creation.md","Business Plan Creation","Entrepreneurs","AI 4 Entrepreneurship","en"
"transcribe_youtube_videos.md","Transcribe Youtube Videos","Content Creation","AI 4 Content","en"
"story_writing_prompt.md","Story Writing Prompt","Content Creation","AI 4 Content","en"
"Presentation Outline.md","Presentation Outline","","AI 4 UNK","en"
"Create Investment Plan.md","Create Investment Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_malware.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_guidance.md","Create Guidance","","AI 4 UNK","en"
"write_semgrep_rule.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"create_health_wellness_pitch_deck.md","Create Health Wellness Pitch Deck","","AI 4 UNK","en"
"Book Finding Challenges.md","Book Finding Challenges","","AI 4 UNK","en"
"compose_email_for_school_inquiry.md","Compose Email For School Inquiry","Content Creation","AI 4 Content","en"
"blockchain_degree_certificate_guide.md","Blockchain Degree Certificate Guide","","AI 4 UNK","en"
"create_science_test.md","Create Science Test","","AI 4 UNK","en"
"clean_text.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_cybersecurity_pitch_deck.md","Create Cybersecurity Pitch Deck","Cybersecurity","AI 4 Security","en"
"independent_educational_consultants_challenges.md","Independent Educational Consultants Challenges","Students & School","AI 4 Schule","en"
"ai_outplacement_service_proposal.md","Ai Outplacement Service Proposal","","AI 4 UNK","en"
"analyze_presentation.md","Analyze Presentation","Analyze Text","AI 4 Textanalyse","en"
"summarize_git_diff.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"analyze_article_quality.md","Analyze Article Quality","Analyze Text","AI 4 Textanalyse","en"
"guide_to_validate_business_idea.md","Guide To Validate Business Idea","Entrepreneurs","AI 4 Entrepreneurship","en"
"summarize_micro.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"extract_sponsors.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"job_application_preparation_guide.md","Job Application Preparation Guide","Job Search","AI 4 Karriere","en"
"blotato_waitlist.md","Blotato Waitlist","","AI 4 UNK","en"
"wharton_mba_finance_guide.md","Wharton Mba Finance Guide","Creative Arts","AI 4 Kreativität","en"
"start_ai_agency_guide.md","Start Ai Agency Guide","Creative Arts","AI 4 Kreativität","en"
"Social Media Campaign for Personal Trainer.md","Social Media Campaign For Personal Trainer","Content Creation","AI 4 Content","en"
"join_blotato_waitlist.md","Join Blotato Waitlist","","AI 4 UNK","en"
"Fitness Training Plan.md","Fitness Training Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"ai_incident_response_guide.md","Ai Incident Response Guide","Cybersecurity","AI 4 Security","en"
"create_100_day_action_plan.md","Role: Alex Hormozi-inspired Business Strategist","Entrepreneurs","AI 4 Entrepreneurship","en"
"content_creation_guide.md","Content Creation Guide","Content Creation","AI 4 Content","en"
"summarize_study_guide.md","Summarize Study Guide","Analyze Text","AI 4 Textanalyse","en"
"Create Travel Guidebook.md","Create Travel Guidebook","","AI 4 UNK","en"
"design_marketing_materials.md","Design Marketing Materials","Content Creation","AI 4 Content","en"
"network_marketing_crypto_accessibility.md","Network Marketing Crypto Accessibility","Content Creation","AI 4 Content","en"
"Social Media Strategy.md","Social Media Strategy","Content Creation","AI 4 Content","en"
"carerscloud_linkedin_strategy.md","Carerscloud Linkedin Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"write_hormozi_hook.md","Write Hormozi Hook","Content Creation","AI 4 Content","en"
"study_schedule_guidance.md","Study Schedule Guidance","Students & School","AI 4 Schule","en"
"create_faceless_content_guide.md","Create Faceless Content Guide","Content Creation","AI 4 Content","en"
"create_project_closure_report_guide.md","Create Project Closure Report Guide","","AI 4 UNK","en"
"create_art_course_outline.md","Create Art Course Outline","Creative Arts","AI 4 Kreativität","en"
"optimize_linkedIn_profile.md","Optimize Linkedin Profile","Job Search","AI 4 Karriere","en"
"create_faceless_concept_prompt.md","Create Faceless Concept Prompt","Prompt Management","AI 4 PromptOps","en"
"create_free_website_guide.md","Create Free Website Guide","","AI 4 UNK","en"
"Transformers_Coloring_Book.md","Transformers Coloring Book","Creative Arts","AI 4 Kreativität","en"
"meeting_minutes_template_guide.md","Meeting Minutes Template Guide","Meetings","AI 4 Meetings","en"
"analyze_ledger_accuracy.md","Analyze Ledger Accuracy","Analyze Text","AI 4 Textanalyse","en"
"optimize_landing_page_seo.md","Optimize Landing Page Seo","","AI 4 UNK","en"
"AI Database Management Guide.md","Ai Database Management Guide","Software Engineers","AI 4 Engineering","en"
"reflecting_for_better_decisions.md","Reflecting For Better Decisions","","AI 4 UNK","en"
"startups_guidance.md","Startups Guidance","Creative Arts","AI 4 Kreativität","en"
"fact-checking_norwegian_content.md","Fact Checking Norwegian Content","Content Creation","AI 4 Content","en"
"write_hooks_youtube_video.md","Write Hooks Youtube Video","Content Creation","AI 4 Content","en"
"c-suite_resume_trends.md","C Suite Resume Trends","Job Search","AI 4 Karriere","en"
"corporate_communication_edit.md","Corporate Communication Edit","","AI 4 UNK","en"
"edit_kids_fantasy_book.md","Edit Kids Fantasy Book","","AI 4 UNK","en"
"mortgage_insurance_claims_guide.md","Mortgage Insurance Claims Guide","Real Estate","AI 4 Real Estate","en"
"develop_online_news_platform.md","Develop Online News Platform","","AI 4 UNK","en"
"create_a_poppy_ai_prompt.md","Create A Poppy Ai Prompt","Prompt Management","AI 4 PromptOps","en"
"create_adult_coloring_book.md","Create Adult Coloring Book","Creative Arts","AI 4 Kreativität","en"
"explain_terms.md","IDENTITY","Lawyers","AI 4 Legal","en"
"nursing_care_plan.md","Nursing Care Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"edit_prayer_book.md","Edit Prayer Book","","AI 4 UNK","en"
"floral_harmony_coloring_book_plan.md","Floral Harmony Coloring Book Plan","Creative Arts","AI 4 Kreativität","en"
"generate_randomized_quiz_options.md","Generate Randomized Quiz Options","","AI 4 UNK","en"
"humanize_ai_writing.md","Humanize Ai Writing","Content Creation","AI 4 Content","en"
"match_outcome_prediction.md","Match Outcome Prediction","","AI 4 UNK","en"
"rate_content.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"ecommerce_analysis.md","Ecommerce Analysis","Analyze Text","AI 4 Textanalyse","en"
"Pest Control Business Strategy.md","Pest Control Business Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_ai_jobs_analysis.md","Create Ai Jobs Analysis","Analyze Text","AI 4 Textanalyse","en"
"guide_for_prompt_structuring.md","IDENTITY AND PURPOSE","Prompt Management","AI 4 PromptOps","en"
"create_investigation_visualization.md","Create Investigation Visualization","Visualizations","AI 4 Visuals","en"
"avoiding_problematic_words.md","Avoiding Problematic Words","","AI 4 UNK","en"
"create_automation_strategy.md","Create Automation Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_threat_report.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"generational_insights_masterclass.md","Generational Insights Masterclass","","AI 4 UNK","en"
"create_facebook_content_ideas.md","Create Facebook Content Ideas","Content Creation","AI 4 Content","en"
"automated_digital_marketing_guide.md","Automated Digital Marketing Guide","Content Creation","AI 4 Content","en"
"luxury_jet_sales_messaging.md","Luxury Jet Sales Messaging","Entrepreneurs","AI 4 Entrepreneurship","en"
"NursingStudyGuide.md","Nursingstudyguide","Students & School","AI 4 Schule","en"
"social_media_branding_strategies.md","Social Media Branding Strategies","Content Creation","AI 4 Content","en"
"halloween_coloring_book_promotional_script.md","Halloween Coloring Book Promotional Script","Content Creation","AI 4 Content","en"
"conduct_feasibility_study_prompts.md","Conduct Feasibility Study Prompts","Prompt Management","AI 4 PromptOps","en"
"improve_academic_writing.md","Improve Academic Writing","Content Creation","AI 4 Content","en"
"analyze_diet_impact.md","Analyze Diet Impact","Analyze Text","AI 4 Textanalyse","en"
"automation_in_fintech_overview.md","Automation In Fintech Overview","","AI 4 UNK","en"
"create_practice_tests.md","Create Practice Tests","","AI 4 UNK","en"
"analyze_testing_concepts.md","Analyze Testing Concepts","Analyze Text","AI 4 Textanalyse","en"
"analyze_branding_and_content_generation.md","Analyze Branding And Content Generation","Analyze Text","AI 4 Textanalyse","en"
"analyze_paper.md","Analyze Paper","Analyze Text","AI 4 Textanalyse","en"
"engaging_writing_prompts.md","Engaging Writing Prompts","Content Creation","AI 4 Content","en"
"post_coloring_books_online.md","Post Coloring Books Online","Content Creation","AI 4 Content","en"
"suggest_pattern.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_cybersecurity_resumes.md","Create Cybersecurity Resumes","Cybersecurity","AI 4 Security","en"
"write_lessons_learned_post.md","Write Lessons Learned Post","Content Creation","AI 4 Content","en"
"gasesindustrycommunicationstrategy.md","Gasesindustrycommunicationstrategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"extract_predictions.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_video_prompts.md","Create Video Prompts","Content Creation","AI 4 Content","en"
"data_extraction.md","Data Extraction","Analyze Text","AI 4 Textanalyse","en"
"grant_application_support.md","Grant Application Support","","AI 4 UNK","en"
"blotato_overview.md","Blotato Overview","","AI 4 UNK","en"
"create_microstock_video_guide.md","Create Microstock Video Guide","Content Creation","AI 4 Content","en"
"football_betting_prediction_system.md","Football Betting Prediction System","","AI 4 UNK","en"
"extract_wisdom_agents.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"define_your_business_niche.md","Define Your Business Niche","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_content_guidelines.md","Create Content Guidelines","Content Creation","AI 4 Content","en"
"write_top_mistakes_post.md","Write Top Mistakes Post","Content Creation","AI 4 Content","en"
"create_relationship_ebooks.md","Create Relationship Ebooks","","AI 4 UNK","en"
"collecting_chatgpt_prompts.md","Collecting Chatgpt Prompts","Prompt Management","AI 4 PromptOps","en"
"create_report_finding.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_ad_strategy_for_schools.md","Create Ad Strategy For Schools","Entrepreneurs","AI 4 Entrepreneurship","en"
"extract_insurance_quotations.md","Extract Insurance Quotations","Analyze Text","AI 4 Textanalyse","en"
"create_prompt_library_proposal.md","Create Prompt Library Proposal","Prompt Management","AI 4 PromptOps","en"
"Internal Audit Program Template.md","Internal Audit Program Template","","AI 4 UNK","en"
"app_development_guide.md","App Development Guide","","AI 4 UNK","en"
"ai_tools_for_neurodivergent_individuals.md","Ai Tools For Neurodivergent Individuals","","AI 4 UNK","en"
"writing_with_ai.md","Writing With Ai","Content Creation","AI 4 Content","en"
"create_social_media_post.md","Create Social Media Post","Content Creation","AI 4 Content","en"
"show_fabric_options.md","Show Fabric Options","","AI 4 UNK","en"
"check_agreement.md","Check Agreement","","AI 4 UNK","en"
"strategies_for_kdp_monetization.md","Strategies For Kdp Monetization","","AI 4 UNK","en"
"Business Development Strategy.md","Business Development Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"BullyingStatistics.md","Bullyingstatistics","","AI 4 UNK","en"
"AI Innovation Center Development.md","Ai Innovation Center Development","","AI 4 UNK","en"
"linked_in_website_article_analysis.md","Linked In Website Article Analysis","Analyze Text","AI 4 Textanalyse","en"
"create_marketing_sales_letter.md","Create Marketing Sales Letter","Content Creation","AI 4 Content","en"
"linkedin_profile_optimization.md","Linkedin Profile Optimization","Job Search","AI 4 Karriere","en"
"linkedin_outreach_cognitive_test.md","Linkedin Outreach Cognitive Test","Job Search","AI 4 Karriere","en"
"engaging_drama_stories.md","Engaging Drama Stories","","AI 4 UNK","en"
"organizing_knowledge_hub.md","Organizing Knowledge Hub","","AI 4 UNK","en"
"humanize_ai_communication.md","Humanize Ai Communication","","AI 4 UNK","en"
"summarize_git_changes.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"BrandingGuide.md","Brandingguide","","AI 4 UNK","en"
"solo_travel_guide.md","Solo Travel Guide","","AI 4 UNK","en"
"create_video_sop.md","Create Video Sop","Content Creation","AI 4 Content","en"
"Funding High School Track.md","Funding High School Track","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_cyberag_co_op_plan.md","Create Cyberag Co Op Plan","Cybersecurity","AI 4 Security","en"
"create_case_document.md","Create Case Document","","AI 4 UNK","en"
"reimagine_hooks.md","Reimagine Hooks","","AI 4 UNK","en"
"direct_response_marketing_strategy.md","Direct Response Marketing Strategy","Content Creation","AI 4 Content","en"
"Supported Living Policy.md","Supported Living Policy","Lawyers","AI 4 Legal","en"
"teenage_online_club_concept.md","Teenage Online Club Concept","","AI 4 UNK","en"
"Create SaaS Sales Proposal.md","Create Saas Sales Proposal","Entrepreneurs","AI 4 Entrepreneurship","en"
"social_media_growth_plan.md","Social Media Growth Plan","Content Creation","AI 4 Content","en"
"Professional Development Plan.md","Professional Development Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"wharton_mba_courses_overview.md","Wharton Mba Courses Overview","Creative Arts","AI 4 Kreativität","en"
"create_better_frame.md","Create Better Frame","","AI 4 UNK","en"
"create_terms_and_conditions.md","Create Terms And Conditions","Lawyers","AI 4 Legal","en"
"startup_costs_assessment.md","Startup Costs Assessment","Creative Arts","AI 4 Kreativität","en"
"adhd_accountability_buddy.md","Adhd Accountability Buddy","","AI 4 UNK","en"
"create_educational_activity.md","Create Educational Activity","Students & School","AI 4 Schule","en"
"brainstorm_content_pillars.md","Brainstorm Content Pillars","Content Creation","AI 4 Content","en"
"republishing_public_domain_books.md","Republishing Public Domain Books","","AI 4 UNK","en"
"analyze_news_content_generation.md","Analyze News Content Generation","Analyze Text","AI 4 Textanalyse","en"
"cultural_competency_in_leadership.md","Cultural Competency In Leadership","","AI 4 UNK","en"
"analyze_pokemon_card_business.md","Analyze Pokemon Card Business","Analyze Text","AI 4 Textanalyse","en"
"analyze_threat_report_trends.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"ai_skills_enhancement.md","Ai Skills Enhancement","","AI 4 UNK","en"
"create_ebook_guide.md","Create Ebook Guide","","AI 4 UNK","en"
"design_farm_stall_layout.md","Design Farm Stall Layout","Creative Arts","AI 4 Kreativität","en"
"mental_health_guide.md","Mental Health Guide","Psychology","AI 4 Psychologie","en"
"family_wellness_resource.md","Family Wellness Resource","","AI 4 UNK","en"
"create_job_description_senior_graphic_designer.md","Create Job Description Senior Graphic Designer","Content Creation","AI 4 Content","en"
"private_healthcare_proposal.md","Private Healthcare Proposal","","AI 4 UNK","en"
"write_micro_essay.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"improve_writing.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"brand_content_development.md","Brand Content Development","Content Creation","AI 4 Content","en"
"create_muscle_car_video_prompt.md","Create Muscle Car Video Prompt","Content Creation","AI 4 Content","en"
"operational_technology_cybersecurity_wbs.md","Operational Technology Cybersecurity Wbs","Cybersecurity","AI 4 Security","en"
"childcare_menu_planning_guide.md","Childcare Menu Planning Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"social_media_strategy_for_animators.md","Social Media Strategy For Animators","Content Creation","AI 4 Content","en"
"Setting Up TikTok Shop.md","Setting Up Tiktok Shop","","AI 4 UNK","en"
"create_ai_application.md","Create Ai Application","","AI 4 UNK","en"
"extract_book_recommendations.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"soccer_scouting_report_enhancements.md","Soccer Scouting Report Enhancements","Cybersecurity","AI 4 Security","en"
"summarize_paper.md","Summarize Paper","Analyze Text","AI 4 Textanalyse","en"
"Create Coloring Book Ideas.md","Create Coloring Book Ideas","Creative Arts","AI 4 Kreativität","en"
"create_email_template_for_leaders.md","Create Email Template For Leaders","Content Creation","AI 4 Content","en"
"create_consulting_ai_chatbot.md","Create Consulting Ai Chatbot","","AI 4 UNK","en"
"brainstorm_tiktok_video_ideas.md","Brainstorm Tiktok Video Ideas","Content Creation","AI 4 Content","en"
"analyze_prose_json.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"documentary_script_creation.md","Documentary Script Creation","Content Creation","AI 4 Content","en"
"Social Media Content Ideas.md","Social Media Content Ideas","Content Creation","AI 4 Content","en"
"analyze_target_audience.md","Analyze Target Audience","Analyze Text","AI 4 Textanalyse","en"
"inbound_call_management_strategies.md","Inbound Call Management Strategies","","AI 4 UNK","en"
"ai_editing_esl_courses.md","Ai Editing Esl Courses","","AI 4 UNK","en"
"coding_master.md","Coding Master","","AI 4 UNK","en"
"Funding Strategies.md","Funding Strategies","Entrepreneurs","AI 4 Entrepreneurship","en"
"blog_post_tutorial.md","Blog Post Tutorial","Content Creation","AI 4 Content","en"
"dream_life_exploration.md","Dream Life Exploration","","AI 4 UNK","en"
"create_engaging_website_content_and_video_scripts_for_small_business.md","Create Engaging Website Content And Video Scripts For Small Business","Content Creation","AI 4 Content","en"
"WhatsApp Patient Response.md","Whatsapp Patient Response","","AI 4 UNK","en"
"personal_brand_content_creation.md","Personal Brand Content Creation","Content Creation","AI 4 Content","en"
"start_tutoring_company.md","Start Tutoring Company","Creative Arts","AI 4 Kreativität","en"
"annual_life_goals_plan.md","Annual Life Goals Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"problem_agitate_solve.md","Problem Agitate Solve","Software Engineers","AI 4 Engineering","en"
"kids_event_planning.md","Kids Event Planning","Entrepreneurs","AI 4 Entrepreneurship","en"
"digital_marketing_coaching_guide.md","Digital Marketing Coaching Guide","Coaching","AI 4 Coaching","en"
"wellness_guide.md","Wellness Guide","","AI 4 UNK","en"
"email_automation_guide.md","Email Automation Guide","Content Creation","AI 4 Content","en"
"analyze_medical_service.md","Analyze Medical Service","Analyze Text","AI 4 Textanalyse","en"
"virtual_assistant_recruitment.md","Virtual Assistant Recruitment","","AI 4 UNK","en"
"ai.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"predicting_road_deterioration.md","Predicting Road Deterioration","","AI 4 UNK","en"
"write_hackerone_report.md","IDENTITY","Content Creation","AI 4 Content","en"
"departmental_head_job_description.md","Departmental Head Job Description","Content Creation","AI 4 Content","en"
"write_pull-request.md","IDENTITY AND PURPOSE","Content Creation","AI 4 Content","en"
"excel_guide_for_business_managers.md","Excel Guide For Business Managers","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_repository_status.md","Analyze Repository Status","Analyze Text","AI 4 Textanalyse","en"
"Luxury Hospitality Training.md","Luxury Hospitality Training","","AI 4 UNK","en"
"fast_food_business_guide.md","Fast Food Business Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"CreateGrantProposal.md","Creategrantproposal","","AI 4 UNK","en"
"ai_project_management_guide.md","Ai Project Management Guide","","AI 4 UNK","en"
"dementia_cost_analysis.md","Dementia Cost Analysis","Analyze Text","AI 4 Textanalyse","en"
"agility_story.md","IDENTITY and PURPOSE","Creative Arts","AI 4 Kreativität","en"
"create_instagram_content.md","Create Instagram Content","Content Creation","AI 4 Content","en"
"game_mastery_assistant.md","Game Mastery Assistant","Gaming","AI 4 Gaming","en"
"easter_miracle_service_posts.md","Easter Miracle Service Posts","Content Creation","AI 4 Content","en"
"simplifying_scam_email_awareness.md","Simplifying Scam Email Awareness","Content Creation","AI 4 Content","en"
"conservation_project_analysis.md","Conservation Project Analysis","Analyze Text","AI 4 Textanalyse","en"
"write_linkedin_post.md","Write Linkedin Post","Content Creation","AI 4 Content","en"
"career_guidance_for_education_roles.md","Career Guidance For Education Roles","Job Search","AI 4 Karriere","en"
"real_estate_app_development.md","Real Estate App Development","Real Estate","AI 4 Real Estate","en"
"raw_query.md","IDENTITY","","AI 4 UNK","en"
"meal_plan_for_daycares.md","Meal Plan For Daycares","Entrepreneurs","AI 4 Entrepreneurship","en"
"luxury_travel_updates_guide.md","Luxury Travel Updates Guide","","AI 4 UNK","en"
"empowering_rural_women_in_ghana.md","Empowering Rural Women In Ghana","","AI 4 UNK","en"
"analyze_prompt_pas.md","Analyze Prompt Pas","Analyze Text","AI 4 Textanalyse","en"
"limitations_to_desired_identity.md","Limitations To Desired Identity","","AI 4 UNK","en"
"optimize_resume_keywords.md","Optimize Resume Keywords","Job Search","AI 4 Karriere","en"
"terms_and_conditions_document.md","Terms And Conditions Document","Lawyers","AI 4 Legal","en"
"analyze_articles_instagram_carousel.md","Analyze Articles Instagram Carousel","Analyze Text","AI 4 Textanalyse","en"
"brainstorm_ideas_recent_experiences.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"language_learning_activities.md","Language Learning Activities","","AI 4 UNK","en"
"write_cover_letter.md","Write Cover Letter","Content Creation","AI 4 Content","en"
"DocumentaryScriptOutline.md","Documentaryscriptoutline","Content Creation","AI 4 Content","en"
"bankroll_growth_strategy.md","Bankroll Growth Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"investment_course_development.md","Investment Course Development","","AI 4 UNK","en"
"create_idea_compass.md","Create Idea Compass","","AI 4 UNK","en"
"ai_solution_guide.md","Ai Solution Guide","","AI 4 UNK","en"
"find_hidden_message.md","IDENTITY AND GOALS","","AI 4 UNK","en"
"GenerationalDifferencesMasterclass.md","Generationaldifferencesmasterclass","","AI 4 UNK","en"
"investment_opportunities_botswana.md","Investment Opportunities Botswana","","AI 4 UNK","en"
"analyze_incident.md","Analyze Incident","Analyze Text","AI 4 Textanalyse","en"
"analyze_political_sentiment.md","Analyze Political Sentiment","Analyze Text","AI 4 Textanalyse","en"
"data_analysis_and_science_overview.md","Data Analysis And Science Overview","Analyze Text","AI 4 Textanalyse","en"
"faceless_content_generator.md","Faceless Content Generator","Content Creation","AI 4 Content","en"
"create_logo.md","Create Logo","","AI 4 UNK","en"
"mental_health_conditions_report.md","Mental Health Conditions Report","Psychology","AI 4 Psychologie","en"
"thanksgiving_coloring_book_outline.md","Thanksgiving Coloring Book Outline","Creative Arts","AI 4 Kreativität","en"
"signal_analysis_curriculum.md","Signal Analysis Curriculum","Analyze Text","AI 4 Textanalyse","en"
"analyze_customer_service_interaction.md","Analyze Customer Service Interaction","Analyze Text","AI 4 Textanalyse","en"
"autism_research_overview.md","Autism Research Overview","","AI 4 UNK","en"
"create_tags.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_wellness_brand_business_plan.md","Create Wellness Brand Business Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"dialogue_optimization_for_screenplays.md","Dialogue Optimization For Screenplays","Creative Arts","AI 4 Kreativität","en"
"create_quiz.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"Create Ebook Marketing Strategy.md","Create Ebook Marketing Strategy","Content Creation","AI 4 Content","en"
"prepare_and_file_appeal_guide.md","Prepare And File Appeal Guide","","AI 4 UNK","en"
"create_content_strategy.md","Create Content Strategy","Content Creation","AI 4 Content","en"
"marketing_strategy_for_handmade_jewelry.md","Marketing Strategy For Handmade Jewelry","Content Creation","AI 4 Content","en"
"summarize_study_material.md","Summarize Study Material","Analyze Text","AI 4 Textanalyse","en"
