Pfad,Titel,OriginalKategorie,KategorieAI4,Language
"create_merit_file_guidelines.md","Create Merit File Guidelines","","AI 4 UNK","en"
"Create Presentation Deck.md","Create Presentation Deck","","AI 4 UNK","en"
"corporate_tax_optimization.md","Corporate Tax Optimization","","AI 4 UNK","en"
"summarize_rpg_session.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"vitamin_recommendation_app_plan.md","Vitamin Recommendation App Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"BrandReputationStrategy.md","Brandreputationstrategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_marketing_sales_letter_outline.md","Create Marketing Sales Letter Outline","Content Creation","AI 4 Content","en"
"green_card_application_guide.md","Green Card Application Guide","","AI 4 UNK","en"
"content_creation_checklist.md","Content Creation Checklist","Content Creation","AI 4 Content","en"
"official_pattern_template.md","IDENTITY","","AI 4 UNK","en"
"chatgpt_for_medical_practice_efficiency.md","Chatgpt For Medical Practice Efficiency","","AI 4 UNK","en"
"accounting_business_website_content.md","Accounting Business Website Content","Content Creation","AI 4 Content","en"
"improve_engagement_in_writing.md","Improve Engagement In Writing","Content Creation","AI 4 Content","en"
"arts_and_cultural_precinct.md","Arts And Cultural Precinct","Creative Arts","AI 4 Kreativität","en"
"create_cybersecurity_job_description.md","Create Cybersecurity Job Description","Content Creation","AI 4 Content","en"
"extract_study_material.md","Extract Study Material","Analyze Text","AI 4 Textanalyse","en"
"hello_kitty_plr_kits_for_coloring_books.md","Hello Kitty Plr Kits For Coloring Books","Creative Arts","AI 4 Kreativität","en"
"Digital Marketing Daily Method.md","Digital Marketing Daily Method","Content Creation","AI 4 Content","en"
"guide_to_develop_digital_product.md","Guide To Develop Digital Product","Product Managers","AI 4 Produkt","en"
"Self Improvement Strategies.md","Self Improvement Strategies","","AI 4 UNK","en"
"create_show_intro.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_compelling_linkedin_headlines.md","Create Compelling Linkedin Headlines","Job Search","AI 4 Karriere","en"
"humanize_ai_text.md","Humanize Ai Text","","AI 4 UNK","en"
"create_marketing_prompts.md","Create Marketing Prompts","Content Creation","AI 4 Content","en"
"create_real_estate_seo.md","Create Real Estate Seo","Real Estate","AI 4 Real Estate","en"
"combine_prompts.md","Combine Prompts","Prompt Management","AI 4 PromptOps","en"
"capture_thinkers_work.md","Capture Thinkers Work","","AI 4 UNK","en"
"create_video_advertisement_concept.md","Create Video Advertisement Concept","Content Creation","AI 4 Content","en"
"create_micro_summary.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"strategies_for_linkedin_thought_leadership.md","Strategies For Linkedin Thought Leadership","Job Search","AI 4 Karriere","en"
"historical_coloring_book.md","Historical Coloring Book","Creative Arts","AI 4 Kreativität","en"
"nurse_workforce_analysis.md","Nurse Workforce Analysis","Analyze Text","AI 4 Textanalyse","en"
"analyze_claims.md","Analyze Claims","Analyze Text","AI 4 Textanalyse","en"
"oversharing_book_guide.md","Oversharing Book Guide","","AI 4 UNK","en"
"product_support_inquiry.md","Product Support Inquiry","Product Managers","AI 4 Produkt","en"
"retirement_home_construction_plan.md","Retirement Home Construction Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"Viral Content Strategy.md","Viral Content Strategy","Content Creation","AI 4 Content","en"
"holiday_gathering_guide.md","Holiday Gathering Guide","","AI 4 UNK","en"
"strategies_for_clearing_creditors_debit_balances.md","Strategies For Clearing Creditors Debit Balances","","AI 4 UNK","en"
"build_custom_college_list.md","Build Custom College List","","AI 4 UNK","en"
"business_directory_investigation.md","Business Directory Investigation","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_ai_system_for_misinformation_detection.md","Create Ai System For Misinformation Detection","","AI 4 UNK","en"
"Health And Wellness Content.md","Health And Wellness Content","Content Creation","AI 4 Content","en"
"business_strategy_assistant.md","Business Strategy Assistant","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_video_chapters.md","IDENTITY and PURPOSE","Content Creation","AI 4 Content","en"
"analyze_prose_pinker.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"analyze_contract_compliance.md","Analyze Contract Compliance","Analyze Text","AI 4 Textanalyse","en"
"simplify_learning_content.md","Simplify Learning Content","Content Creation","AI 4 Content","en"
"british_english_learning.md","British English Learning","","AI 4 UNK","en"
"guide_government_contracts_pharma.md","Guide Government Contracts Pharma","Lawyers","AI 4 Legal","en"
"analyze_itsm_issues.md","Analyze Itsm Issues","Analyze Text","AI 4 Textanalyse","en"
"email_funnel_creation.md","Email Funnel Creation","Content Creation","AI 4 Content","en"
"create_hr_prompts.md","Create Hr Prompts","Prompt Management","AI 4 PromptOps","en"
"career_advancement_guide.md","Career Advancement Guide","Job Search","AI 4 Karriere","en"
"create_online_course.md","Create Online Course","","AI 4 UNK","en"
"rfp_response_assistance.md","Rfp Response Assistance","","AI 4 UNK","en"
"change_management_course_design.md","Change Management Course Design","Creative Arts","AI 4 Kreativität","en"
"hiring_online_business_manager.md","Hiring Online Business Manager","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_visualization.md","IDENTITY and PURPOSE","Visualizations","AI 4 Visuals","en"
"ai_dental_automation_strategy.md","Ai Dental Automation Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"improving_patient_experience_report.md","Improving Patient Experience Report","","AI 4 UNK","en"
"create_presentation_from_script.md","Create Presentation From Script","Content Creation","AI 4 Content","en"
"faceless_bible_stories_outline.md","Faceless Bible Stories Outline","","AI 4 UNK","en"
"create_brand_voice_guidelines.md","Create Brand Voice Guidelines","","AI 4 UNK","en"
"learning_stock_trading_plan.md","Learning Stock Trading Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"conduct_online_dialogues.md","Conduct Online Dialogues","","AI 4 UNK","en"
"Bird And Insect Identification Course.md","Bird And Insect Identification Course","","AI 4 UNK","en"
"analyze_ikigai.md","Analyze Ikigai","Analyze Text","AI 4 Textanalyse","en"
"answer_interview_question.md","Answer Interview Question","Job Search","AI 4 Karriere","en"
"ai_powered_consumer_insights.md","Ai Powered Consumer Insights","","AI 4 UNK","en"
"predictive_chatbot_development.md","Predictive Chatbot Development","","AI 4 UNK","en"
"forensic_accounting_guidance.md","Forensic Accounting Guidance","","AI 4 UNK","en"
"brainstorm_ideas_customer_pain.md","Brainstorm Ideas Customer Pain","","AI 4 UNK","en"
"blog_creation_tasks.md","Blog Creation Tasks","Content Creation","AI 4 Content","en"
"social_media_content_tree_service.md","Social Media Content Tree Service","Content Creation","AI 4 Content","en"
"create_banking_guide.md","Create Banking Guide","","AI 4 UNK","en"
"analyze_tiktok_dream_life.md","Analyze Tiktok Dream Life","Analyze Text","AI 4 Textanalyse","en"
"create_keynote.md","Create Keynote","","AI 4 UNK","en"
"filter_job_opportunities.md","Filter Job Opportunities","Job Search","AI 4 Karriere","en"
"create_website_guide.md","Create Website Guide","","AI 4 UNK","en"
"create_farming_business_plan.md","Create Farming Business Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"find_free_ai_courses.md","Find Free Ai Courses","","AI 4 UNK","en"
"export_chatgpt_conversations.md","Export Chatgpt Conversations","","AI 4 UNK","en"
"create_engaging_instagram_reel.md","Create Engaging Instagram Reel","","AI 4 UNK","en"
"music_licensing_strategy.md","Music Licensing Strategy","Creative Arts","AI 4 Kreativität","en"
"spatial_lab_discussion_points.md","Spatial Lab Discussion Points","","AI 4 UNK","en"
"write_video_script_tiktok_motivation.md","Write Video Script Tiktok Motivation","Content Creation","AI 4 Content","en"
"screenplay_to_novel_adaptation.md","Screenplay To Novel Adaptation","Creative Arts","AI 4 Kreativität","en"
"create_comprehensive_article.md","Create Comprehensive Article","Creative Arts","AI 4 Kreativität","en"
"ai_automation_service_desk.md","Ai Automation Service Desk","","AI 4 UNK","en"
"create_dating_app_business_plan.md","Create Dating App Business Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"DocumentOrganizationApp.md","Documentorganizationapp","","AI 4 UNK","en"
"brainstorm_job_search_plan.md","IDENTITY and PURPOSE","Entrepreneurs","AI 4 Entrepreneurship","en"
"StrategicPlanDrafting.md","Strategicplandrafting","Entrepreneurs","AI 4 Entrepreneurship","en"
"30_day_project_management_course.md","30 Day Project Management Course","","AI 4 UNK","en"
"create_lesson_plans.md","Create Lesson Plans","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_marketing_ebook.md","Create Marketing Ebook","Content Creation","AI 4 Content","en"
"website_evaluation_public_speaking.md","Website Evaluation Public Speaking","","AI 4 UNK","en"
"faceless_video_guide.md","Faceless Video Guide","Content Creation","AI 4 Content","en"
"identify_cybersecurity_controls.md","Identify Cybersecurity Controls","Cybersecurity","AI 4 Security","en"
"non_injectable_peptide_marketing_strategy.md","Non Injectable Peptide Marketing Strategy","Content Creation","AI 4 Content","en"
"create_short_film_script.md","Create Short Film Script","Content Creation","AI 4 Content","en"
"create_travel_article_framework.md","Create Travel Article Framework","Creative Arts","AI 4 Kreativität","en"
"create_npc.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"professional_reference_letter_guidance.md","Professional Reference Letter Guidance","","AI 4 UNK","en"
"extract_algorithm_update_recommendations.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"Create M&A Analysis.md","Create M&a Analysis","Analyze Text","AI 4 Textanalyse","en"
"create_humanized_responses.md","Create Humanized Responses","","AI 4 UNK","en"
"study_guide_supply_chain_management.md","Study Guide Supply Chain Management","Students & School","AI 4 Schule","en"
"healthy_meal_plan.md","Healthy Meal Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_article_structure.md","Create Article Structure","Creative Arts","AI 4 Kreativität","en"
"create_study_booklet.md","Create Study Booklet","Students & School","AI 4 Schule","en"
"create_unique_nature_videos.md","Create Unique Nature Videos","Content Creation","AI 4 Content","en"
"create_social_media_strategy.md","Create Social Media Strategy","Content Creation","AI 4 Content","en"
"Create Pinterest Pin Content Strategy.md","Create Pinterest Pin Content Strategy","Content Creation","AI 4 Content","en"
"marcus_garvey_hip_hop_influence.md","Marcus Garvey Hip Hop Influence","","AI 4 UNK","en"
"create_summary.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"Employee Satisfaction Survey.md","Employee Satisfaction Survey","","AI 4 UNK","en"
"create_sales_tracker_plan.md","Create Sales Tracker Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_audiobook_materials.md","Create Audiobook Materials","","AI 4 UNK","en"
"blotto_game_overview.md","Blotto Game Overview","Gaming","AI 4 Gaming","en"
"farm_marketing_strategy.md","Farm Marketing Strategy","Content Creation","AI 4 Content","en"
"digital_cognitive_assessment_tool_description.md","Digital Cognitive Assessment Tool Description","Content Creation","AI 4 Content","en"
"request_early_lease_termination.md","Request Early Lease Termination","","AI 4 UNK","en"
"HalloweenBookIdeas.md","Halloweenbookideas","","AI 4 UNK","en"
"create_prompt_engineering_format.md","Create Prompt Engineering Format","Prompt Management","AI 4 PromptOps","en"
"seo_article_outline.md","Seo Article Outline","Creative Arts","AI 4 Kreativität","en"
"brainstorm_interview_questions.md","IDENTITY and PURPOSE","Job Search","AI 4 Karriere","en"
"create_presentation_content_outline.md","Create Presentation Content Outline","Content Creation","AI 4 Content","en"
"analyze_content_for_new_insights.md","Analyze Content For New Insights","Analyze Text","AI 4 Textanalyse","en"
"hr_coordinator_guide.md","Hr Coordinator Guide","","AI 4 UNK","en"
"create_tiktok_content_awareness.md","Create Tiktok Content Awareness","Content Creation","AI 4 Content","en"
"engaging_camp_activities.md","Engaging Camp Activities","","AI 4 UNK","en"
"create_engaging_tiktok_prompts.md","Create Engaging Tiktok Prompts","Prompt Management","AI 4 PromptOps","en"
"building_niche_websites_guide.md","Building Niche Websites Guide","","AI 4 UNK","en"
"grow_social_media_followers.md","Grow Social Media Followers","Content Creation","AI 4 Content","en"
"create_dream_life_tiktok_story.md","Create Dream Life Tiktok Story","Creative Arts","AI 4 Kreativität","en"
"create_youtube_video_script.md","CONTEXT","Content Creation","AI 4 Content","en"
"create_stride_threat_model.md","IDENTITY and PURPOSE","Cybersecurity","AI 4 Security","en"
"debate_and_public_speaking_club_proposal.md","Debate And Public Speaking Club Proposal","","AI 4 UNK","en"
"job_preparation_guide.md","Job Preparation Guide","Job Search","AI 4 Karriere","en"
"community_association_constitution.md","Community Association Constitution","Cybersecurity","AI 4 Security","en"
"master_student_ai_coach.md","Master Student Ai Coach","Coaching","AI 4 Coaching","en"
"create_command.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"rate_value.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_excel_assignment_guide.md","Create Excel Assignment Guide","","AI 4 UNK","en"
"explain_code.md","IDENTITY and PURPOSE","Software Engineers","AI 4 Engineering","en"
"job_application_preparation.md","Job Application Preparation","Job Search","AI 4 Karriere","en"
"finding_suitable_childrens_books.md","Finding Suitable Childrens Books","","AI 4 UNK","en"
"design_dei_course_structure.md","Design Dei Course Structure","Creative Arts","AI 4 Kreativität","en"
"create_git_diff_commit.md","IDENTITY and PURPOSE","Software Engineers","AI 4 Engineering","en"
"get_youtube_rss.md","IDENTITY AND GOALS","","AI 4 UNK","en"
"Home Improvement Promotion.md","Home Improvement Promotion","","AI 4 UNK","en"
"create_project_charter.md","Create Project Charter","Creative Arts","AI 4 Kreativität","en"
"e-commerce_skills_and_time_management.md","E Commerce Skills And Time Management","","AI 4 UNK","en"
"extract_wisdom_dm.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"analyze_prose.md","Analyze Prose","Analyze Text","AI 4 Textanalyse","en"
"social_media_content_calendar.md","Social Media Content Calendar","Content Creation","AI 4 Content","en"
"create_lofi_music_guide.md","Create Lofi Music Guide","Creative Arts","AI 4 Kreativität","en"
"design_whatsapp_course.md","Design Whatsapp Course","Creative Arts","AI 4 Kreativität","en"
"motivation_guidelines_calendar.md","Motivation Guidelines Calendar","","AI 4 UNK","en"
"visualize_diabetes_manuscript.md","Visualize Diabetes Manuscript","Content Creation","AI 4 Content","en"
"brainstorm_salary_negotiation.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_marketing_plan.md","Create Marketing Plan","Content Creation","AI 4 Content","en"
"Nutrition And Fitness Course.md","Nutrition And Fitness Course","","AI 4 UNK","en"
"comprehensive_guide_program_management_healthcare.md","Comprehensive Guide Program Management Healthcare","","AI 4 UNK","en"
"analyze_patent.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"summarize_debate.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"GRE_Study_Guide.md","Gre Study Guide","Students & School","AI 4 Schule","en"
"create_sigma_rules.md","Create Sigma Rules","","AI 4 UNK","en"
"write_video_script_tiktok.md","Write Video Script Tiktok","Content Creation","AI 4 Content","en"
"create_marketing_strategy_for_dj.md","Create Marketing Strategy For Dj","Content Creation","AI 4 Content","en"
"ai_academy_setup_plan.md","Ai Academy Setup Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_short_video_clips_for_salons.md","Create Short Video Clips For Salons","Content Creation","AI 4 Content","en"
"statement_of_assets_and_liabilities_presentation.md","Statement Of Assets And Liabilities Presentation","","AI 4 UNK","en"
"optimize_linkedin_ads.md","Optimize Linkedin Ads","Job Search","AI 4 Karriere","en"
"write_video_script_tiktok_marcus_garvey.md","Write Video Script Tiktok Marcus Garvey","Content Creation","AI 4 Content","en"
"personalized_messaging_guide.md","Personalized Messaging Guide","","AI 4 UNK","en"
"create_coloring_book_pages.md","Create Coloring Book Pages","Creative Arts","AI 4 Kreativität","en"
"podcast_development_guide.md","Podcast Development Guide","","AI 4 UNK","en"
"plan_perfect_honeymoon.md","Plan Perfect Honeymoon","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_text_for_thesis.md","Analyze Text For Thesis","Analyze Text","AI 4 Textanalyse","en"
"Sales Workflow Guide.md","Sales Workflow Guide","Entrepreneurs","AI 4 Entrepreneurship","en"
"analyze_instagram_profile.md","Analyze Instagram Profile","Analyze Text","AI 4 Textanalyse","en"
"create_training_materials.md","Create Training Materials","","AI 4 UNK","en"
"optimize_linkedin_presence.md","Optimize Linkedin Presence","Job Search","AI 4 Karriere","en"
"strategic_plan_for_ngo.md","Strategic Plan For Ngo","Entrepreneurs","AI 4 Entrepreneurship","en"
"dream_life_visioning.md","Dream Life Visioning","","AI 4 UNK","en"
"building_trust_with_wary_dogs.md","Building Trust With Wary Dogs","","AI 4 UNK","en"
"Stock And Options Trading Guide.md","Stock And Options Trading Guide","","AI 4 UNK","en"
"extract_extraordinary_claims.md","IDENTITY","Analyze Text","AI 4 Textanalyse","en"
"Create Lead Magnet.md","Create Lead Magnet","","AI 4 UNK","en"
"government_rfp_response.md","Government Rfp Response","","AI 4 UNK","en"
"control_assessment_and_improvement.md","Control Assessment And Improvement","","AI 4 UNK","en"
"kaleab_overview.md","Kaleab Overview","","AI 4 UNK","en"
"affiliate_marketing_guide.md","Affiliate Marketing Guide","Content Creation","AI 4 Content","en"
"interview_strategies.md","Interview Strategies","Job Search","AI 4 Karriere","en"
"analyze_textbook_summary.md","Analyze Textbook Summary","Analyze Text","AI 4 Textanalyse","en"
"create_scientific_article_guide.md","Create Scientific Article Guide","Creative Arts","AI 4 Kreativität","en"
"legal_and_creative_writing_tasks.md","Legal And Creative Writing Tasks","Content Creation","AI 4 Content","en"
"achieving_banking_goals.md","Achieving Banking Goals","","AI 4 UNK","en"
"analyze_peter_the_great.md","Analyze Peter The Great","Analyze Text","AI 4 Textanalyse","en"
"area_manager_plan.md","Area Manager Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_knowledge_base_for_project_management.md","Create Knowledge Base For Project Management","","AI 4 UNK","en"
"identify_low_competition_niches.md","Identify Low Competition Niches","","AI 4 UNK","en"
"credit_card_management.md","Credit Card Management","","AI 4 UNK","en"
"voice_notes_overview.md","Voice Notes Overview","","AI 4 UNK","en"
"explain_docs.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"whole_foods_and_cellular_health.md","Whole Foods And Cellular Health","","AI 4 UNK","en"
"find_grants_guide.md","Find Grants Guide","","AI 4 UNK","en"
"business_opportunities_in_botswana.md","Business Opportunities In Botswana","Entrepreneurs","AI 4 Entrepreneurship","en"
"digital_marketing_framework.md","Digital Marketing Framework","Content Creation","AI 4 Content","en"
"podcast_content_creation.md","Podcast Content Creation","Content Creation","AI 4 Content","en"
"create_professional_portfolio_guide.md","Create Professional Portfolio Guide","","AI 4 UNK","en"
"create_timetable_for_training.md","Create Timetable For Training","","AI 4 UNK","en"
"project_closure_guide.md","Project Closure Guide","","AI 4 UNK","en"
"luxury_kitchen_description.md","Luxury Kitchen Description","Content Creation","AI 4 Content","en"
"non_profit_organization_guide.md","Non Profit Organization Guide","","AI 4 UNK","en"
"online_education_guide.md","Online Education Guide","Students & School","AI 4 Schule","en"
"ask_for_help_guide.md","Ask For Help Guide","","AI 4 UNK","en"
"analyze_text_behavior_patterns.md","Analyze Text Behavior Patterns","Analyze Text","AI 4 Textanalyse","en"
"transform_resume_for_interviews.md","Transform Resume For Interviews","Job Search","AI 4 Karriere","en"
"Scholarship Personal Statement.md","Scholarship Personal Statement","","AI 4 UNK","en"
"ai_in_manufacturing_research_brief.md","Ai In Manufacturing Research Brief","","AI 4 UNK","en"
"extract_insights.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"human_resource_management_project_guide.md","Human Resource Management Project Guide","","AI 4 UNK","en"
"humanize_text.md","Humanize Text","","AI 4 UNK","en"
"finding_grants_for_outdoor_businesses.md","Finding Grants For Outdoor Businesses","Entrepreneurs","AI 4 Entrepreneurship","en"
"extract_videoid.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"transcribe_youtube_video.md","Transcribe Youtube Video","Content Creation","AI 4 Content","en"
"chart_and_schedule_assistant.md","Chart And Schedule Assistant","Creative Arts","AI 4 Kreativität","en"
"rewrite_in_tarantino_style.md","Rewrite In Tarantino Style","Content Creation","AI 4 Content","en"
"how_ai_enhances_salon_marketing.md","How Ai Enhances Salon Marketing","Content Creation","AI 4 Content","en"
"independent_channel_partner_proposal.md","Independent Channel Partner Proposal","Creative Arts","AI 4 Kreativität","en"
"luxury_bathroom_description.md","Luxury Bathroom Description","Content Creation","AI 4 Content","en"
"create_wellness_blog_plan.md","Create Wellness Blog Plan","Content Creation","AI 4 Content","en"
"client_management_strategy.md","Client Management Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"tax_preparation_guide.md","Tax Preparation Guide","","AI 4 UNK","en"
"rewrite_article.md","Rewrite Article","Content Creation","AI 4 Content","en"
"analyze_resume_vs_role.md","Analyze Resume Vs Role","Analyze Text","AI 4 Textanalyse","en"
"productivity_plan.md","Productivity Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"personalized_meal_plan.md","Personalized Meal Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"understanding_pas_guide.md","Understanding Pas Guide","","AI 4 UNK","en"
"digital_marketing_overview.md","Digital Marketing Overview","Content Creation","AI 4 Content","en"
"annual_training_strategy_plan.md","Annual Training Strategy Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"extract_ideas.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_engaging_content_for_kids.md","Create Engaging Content For Kids","Content Creation","AI 4 Content","en"
"sponsorship_request_letter.md","Sponsorship Request Letter","","AI 4 UNK","en"
"analyze_presentation_feedback.md","Analyze Presentation Feedback","Analyze Text","AI 4 Textanalyse","en"
"create_unique_video_topics.md","Create Unique Video Topics","Content Creation","AI 4 Content","en"
"flower_information_pages.md","Flower Information Pages","","AI 4 UNK","en"
"franks_ultimate_brain_guide.md","Franks Ultimate Brain Guide","","AI 4 UNK","en"
"create_social_media_content.md","Create Social Media Content","Content Creation","AI 4 Content","en"
"gather_task_details.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"transforming_ai_text.md","Transforming Ai Text","","AI 4 UNK","en"
"statistical_modeling_guide.md","Statistical Modeling Guide","","AI 4 UNK","en"
"homeschooling_special_needs_guide.md","Homeschooling Special Needs Guide","Students & School","AI 4 Schule","en"
"interview_entrepreneurs_roadmap.md","Interview Entrepreneurs Roadmap","Entrepreneurs","AI 4 Entrepreneurship","en"
"passive_income_ai_strategies.md","Passive Income Ai Strategies","","AI 4 UNK","en"
"recommend_artists.md","IDENTITY","Creative Arts","AI 4 Kreativität","en"
"analyze_okay_meaning.md","Analyze Okay Meaning","Analyze Text","AI 4 Textanalyse","en"
"consolidate_educational_materials.md","Consolidate Educational Materials","Students & School","AI 4 Schule","en"
"extract_main_idea.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"media_monitoring_system.md","Media Monitoring System","","AI 4 UNK","en"
"copywriting_guidance_tool.md","Copywriting Guidance Tool","Content Creation","AI 4 Content","en"
"draft_case_against_university_non_graduation.md","Draft Case Against University Non Graduation","","AI 4 UNK","en"
"optimize_content_for_seo.md","Optimize Content For Seo","Content Creation","AI 4 Content","en"
"create_tiktok_growth_strategy.md","Create Tiktok Growth Strategy","Entrepreneurs","AI 4 Entrepreneurship","en"
"create_infographic_content.md","Create Infographic Content","Content Creation","AI 4 Content","en"
"summarize.md","Summarize","Analyze Text","AI 4 Textanalyse","en"
"create_multiple_choice_test.md","Create Multiple Choice Test","","AI 4 UNK","en"
"to_flashcards.md","To Flashcards","","AI 4 UNK","en"
"create_seminar_paper.md","Create Seminar Paper","","AI 4 UNK","en"
"analyze_taking_course.md","Analyze Taking Course","Analyze Text","AI 4 Textanalyse","en"
"improve_report_finding.md","IDENTITY and PURPOSE","","AI 4 UNK","en"
"create_business_improvement_plan.md","Create Business Improvement Plan","Entrepreneurs","AI 4 Entrepreneurship","en"
"extract_poc.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"create_mermaid_visualization.md","IDENTITY and PURPOSE","Visualizations","AI 4 Visuals","en"
"summarize_lecture.md","IDENTITY and PURPOSE","Analyze Text","AI 4 Textanalyse","en"
"ExecutiveAssistantEfficiencyGuide.md","Executiveassistantefficiencyguide","","AI 4 UNK","en"
"pinterest_marketing_guide.md","Pinterest Marketing Guide","Content Creation","AI 4 Content","en"
"guide_for_healing_after_infidelity.md","Guide For Healing After Infidelity","","AI 4 UNK","en"
"Dream Life Prompt.md","Dream Life Prompt","Prompt Management","AI 4 PromptOps","en"
"create_phd_research_proposal.md","Create Phd Research Proposal","","AI 4 UNK","en"
"fantasy_football_guide.md","Fantasy Football Guide","","AI 4 UNK","en"
"real_estate_interest_rate_update.md","Real Estate Interest Rate Update","Real Estate","AI 4 Real Estate","en"
"create_instagram_bio.md","Create Instagram Bio","","AI 4 UNK","en"
"implementing_notebooklm_proposal.md","Implementing Notebooklm Proposal","","AI 4 UNK","en"
"de/_template_prompt.md","Titel des Prompts","Prompt Management","AI 4 PromptOps","de"
