Titel,Kategorie,Tags,Level,Output,Updated,GitHubLink,Pfad,Kurzbeschreibung
README,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/README.md,de/README.md,"Hilft dabei, README zu erstellen."
Titel des Prompts,AI 4 PromptOps,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/_template_prompt.md,de/_template_prompt.md,"Hilft dabei, Titel des Prompts zu erstellen."
Leitfaden zum Schreiben eines Comics,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Comic Book Writing Guide.md,de/ai4_content/Comic Book Writing Guide.md,"Hilft dabei, Leitfaden zum Schreiben eines Comics zu erstellen."
Marketingstrategie für E-Books erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Ebook Marketing Strategy.md,de/ai4_content/Create Ebook Marketing Strategy.md,"Hilft dabei, Marketingstrategie für E-Books erstellen zu erstellen."
Facebook-Post erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Facebook Post.md,de/ai4_content/Create Facebook Post.md,"Hilft dabei, Facebook-Post erstellen zu erstellen."
Pinterest-Pin-Content-Strategie erstellen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Create Pinterest Pin Content Strategy.md,de/ai4_content/Create Pinterest Pin Content Strategy.md,"Hilft dabei, Pinterest-Pin-Content-Strategie erstellen zu erstellen."
Tägliche Methode für digitales Marketing,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Digital Marketing Daily Method.md,de/ai4_content/Digital Marketing Daily Method.md,"Hilft dabei, Tägliche Methode für digitales Marketing zu erstellen."
Gliederung für ein Dokumentarfilm-Skript,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/DocumentaryScriptOutline.md,de/ai4_content/DocumentaryScriptOutline.md,"Hilft dabei, Gliederung für ein Dokumentarfilm-Skript zu erstellen."
Inhalte zu Gesundheit und Wohlbefinden,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Health And Wellness Content.md,de/ai4_content/Health And Wellness Content.md,"Hilft dabei, Inhalte zu Gesundheit und Wohlbefinden zu erstellen."
Strategien für Marketing-Inhalte,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Marketing Content Strategies.md,de/ai4_content/Marketing Content Strategies.md,"Hilft dabei, Strategien für Marketing-Inhalte zu erstellen."
Social-Media-Kampagne für Personal Trainer,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Campaign for Personal Trainer.md,de/ai4_content/Social Media Campaign for Personal Trainer.md,"Hilft dabei, Social-Media-Kampagne für Personal Trainer zu erstellen."
Ideen für Social-Media-Inhalte,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Content Ideas.md,de/ai4_content/Social Media Content Ideas.md,"Hilft dabei, Ideen für Social-Media-Inhalte zu erstellen."
Social-Media-Strategie,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Social Media Strategy.md,de/ai4_content/Social Media Strategy.md,"Hilft dabei, Social-Media-Strategie zu erstellen."
Strategie für virale Inhalte,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/Viral Content Strategy.md,de/ai4_content/Viral Content Strategy.md,"Hilft dabei, Strategie für virale Inhalte zu erstellen."
Website-Inhalte für ein Buchhaltungsunternehmen,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/accounting_business_website_content.md,de/ai4_content/accounting_business_website_content.md,"Hilft dabei, Website-Inhalte für ein Buchhaltungsunternehmen zu erstellen."
Leitfaden für Affiliate-Marketing,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/affiliate_marketing_guide.md,de/ai4_content/affiliate_marketing_guide.md,"Hilft dabei, Leitfaden für Affiliate-Marketing zu erstellen."
Ideen für visuelle KI-Experimente,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/ai_experiments_visual_content_ideas.md,de/ai4_content/ai_experiments_visual_content_ideas.md,"Hilft dabei, Ideen für visuelle KI-Experimente zu erstellen."
KI in der fiktiven Videoproduktion,AI 4 Content,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_content/ai_in_fictional_video_production.md,de/ai4_content/ai_in_fictional_video_production.md,"Hilft dabei, KI in der fiktiven Videoproduktion zu erstellen."
Ai Database Management Leitfaden,AI 4 Engineering,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_engineering/AI Database Management Guide.md,de/ai4_engineering/AI Database Management Guide.md,"Hilft dabei, Ai Database Management Leitfaden zu erstellen."
Strategie für Markenreputation,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/BrandReputationStrategy.md,de/ai4_entrepreneurship/BrandReputationStrategy.md,"Hilft dabei, Strategie für Markenreputation zu erstellen."
Strategie für Geschäftsentwicklung,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Business Development Strategy.md,de/ai4_entrepreneurship/Business Development Strategy.md,"Hilft dabei, Strategie für Geschäftsentwicklung zu erstellen."
Investitionsplan erstellen,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Create Investment Plan.md,de/ai4_entrepreneurship/Create Investment Plan.md,"Hilft dabei, Investitionsplan erstellen zu erstellen."
SaaS-Vertriebsvorschlag erstellen,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Create SaaS Sales Proposal.md,de/ai4_entrepreneurship/Create SaaS Sales Proposal.md,"Hilft dabei, SaaS-Vertriebsvorschlag erstellen zu erstellen."
Fitness-Trainingsplan,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Fitness Training Plan.md,de/ai4_entrepreneurship/Fitness Training Plan.md,"Hilft dabei, Fitness-Trainingsplan zu erstellen."
Finanzierung einer Highschool-Laufbahn,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Funding High School Track.md,de/ai4_entrepreneurship/Funding High School Track.md,"Hilft dabei, Finanzierung einer Highschool-Laufbahn zu erstellen."
Finanzierungsstrategien,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Funding Strategies.md,de/ai4_entrepreneurship/Funding Strategies.md,"Hilft dabei, Finanzierungsstrategien zu erstellen."
Instagram-Wachstumsstrategie,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Instagram Growth Strategy.md,de/ai4_entrepreneurship/Instagram Growth Strategy.md,"Hilft dabei, Instagram-Wachstumsstrategie zu erstellen."
KI-Reels-Strategie für Instagram,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/InstagramAIReelsStrategy.md,de/ai4_entrepreneurship/InstagramAIReelsStrategy.md,"Hilft dabei, KI-Reels-Strategie für Instagram zu erstellen."
Strategie für ein Schädlingsbekämpfungsunternehmen,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Pest Control Business Strategy.md,de/ai4_entrepreneurship/Pest Control Business Strategy.md,"Hilft dabei, Strategie für ein Schädlingsbekämpfungsunternehmen zu erstellen."
Plan zur beruflichen Weiterentwicklung,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Professional Development Plan.md,de/ai4_entrepreneurship/Professional Development Plan.md,"Hilft dabei, Plan zur beruflichen Weiterentwicklung zu erstellen."
Leitfaden für den Vertriebsworkflow,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/Sales Workflow Guide.md,de/ai4_entrepreneurship/Sales Workflow Guide.md,"Hilft dabei, Leitfaden für den Vertriebsworkflow zu erstellen."
Strategischen Plan ausarbeiten,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/StrategicPlanDrafting.md,de/ai4_entrepreneurship/StrategicPlanDrafting.md,"Hilft dabei, Strategischen Plan ausarbeiten zu erstellen."
Plan zur Einrichtung einer KI-Akademie,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/ai_academy_setup_plan.md,de/ai4_entrepreneurship/ai_academy_setup_plan.md,"Hilft dabei, Plan zur Einrichtung einer KI-Akademie zu erstellen."
KI-Automatisierung für Unternehmen,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/ai_automation_for_businesses.md,de/ai4_entrepreneurship/ai_automation_for_businesses.md,"Hilft dabei, KI-Automatisierung für Unternehmen zu erstellen."
Leitfaden zur Geschäftsverbesserung mit KI,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/ai_business_enhancement_guide.md,de/ai4_entrepreneurship/ai_business_enhancement_guide.md,"Hilft dabei, Leitfaden zur Geschäftsverbesserung mit KI zu erstellen."
KI-Automatisierungsstrategie für Zahnarztpraxen,AI 4 Entrepreneurship,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_entrepreneurship/ai_dental_automation_strategy.md,de/ai4_entrepreneurship/ai_dental_automation_strategy.md,"Hilft dabei, KI-Automatisierungsstrategie für Zahnarztpraxen zu erstellen."
Career Transition Leitfaden,AI 4 Karriere,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_karriere/Career Transition Guide.md,de/ai4_karriere/Career Transition Guide.md,"Hilft dabei, Career Transition Leitfaden zu erstellen."
Erstelle Coloring Book Ideas,AI 4 Kreativität,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_kreativitaet/Create Coloring Book Ideas.md,de/ai4_kreativitaet/Create Coloring Book Ideas.md,"Hilft dabei, Erstelle Coloring Book Ideas zu erstellen."
Transformers Coloring Book,AI 4 Kreativität,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_kreativitaet/Transformers_Coloring_Book.md,de/ai4_kreativitaet/Transformers_Coloring_Book.md,"Hilft dabei, Transformers Coloring Book zu erstellen."
IDENTITY and PURPOSE,AI 4 Kreativität,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_kreativitaet/agility_story.md,de/ai4_kreativitaet/agility_story.md,"Hilft dabei, IDENTITY and PURPOSE zu erstellen."
Government Contract Opportunities,AI 4 Legal,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_legal/Government Contract Opportunities.md,de/ai4_legal/Government Contract Opportunities.md,"Hilft dabei, Government Contract Opportunities zu erstellen."
Supported Living Policy,AI 4 Legal,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_legal/Supported Living Policy.md,de/ai4_legal/Supported Living Policy.md,"Hilft dabei, Supported Living Policy zu erstellen."
Ai Product Leitfaden,AI 4 Produkt,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_produkt/AI_Product_Guide.md,de/ai4_produkt/AI_Product_Guide.md,"Hilft dabei, Ai Product Leitfaden zu erstellen."
Dream Life Prompt,AI 4 PromptOps,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_promptops/Dream Life Prompt.md,de/ai4_promptops/Dream Life Prompt.md,"Hilft dabei, Dream Life Prompt zu erstellen."
Ai Fundamentals And Resources,AI 4 Psychologie,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_psychologie/ai_fundamentals_and_resources.md,de/ai4_psychologie/ai_fundamentals_and_resources.md,"Hilft dabei, Ai Fundamentals And Resources zu erstellen."
Early Childhood Curriculum,AI 4 Schule,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_schule/Early Childhood Curriculum.md,de/ai4_schule/Early Childhood Curriculum.md,"Hilft dabei, Early Childhood Curriculum zu erstellen."
Gre Study Leitfaden,AI 4 Schule,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_schule/GRE_Study_Guide.md,de/ai4_schule/GRE_Study_Guide.md,"Hilft dabei, Gre Study Leitfaden zu erstellen."
Nursingstudyguide,AI 4 Schule,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_schule/NursingStudyGuide.md,de/ai4_schule/NursingStudyGuide.md,"Hilft dabei, Nursingstudyguide zu erstellen."
Ai Incident Response Leitfaden,AI 4 Security,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_security/ai_incident_response_guide.md,de/ai4_security/ai_incident_response_guide.md,"Hilft dabei, Ai Incident Response Leitfaden zu erstellen."
Erstelle M&a Analysis,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/Create M&A Analysis.md,de/ai4_textanalyse/Create M&A Analysis.md,"Hilft dabei, Erstelle M&a Analysis zu erstellen."
IDENTITY and PURPOSE,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_answers.md,de/ai4_textanalyse/analyze_answers.md,"Hilft dabei, IDENTITY and PURPOSE zu erstellen."
Analyze Article Qualität,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_article_quality.md,de/ai4_textanalyse/analyze_article_quality.md,"Hilft dabei, Analyze Article Qualität zu erstellen."
Analyze Articles Instagram Carousel,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_articles_instagram_carousel.md,de/ai4_textanalyse/analyze_articles_instagram_carousel.md,"Hilft dabei, Analyze Articles Instagram Carousel zu erstellen."
Analyze Branding And Inhalt Generation,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_branding_and_content_generation.md,de/ai4_textanalyse/analyze_branding_and_content_generation.md,"Hilft dabei, Analyze Branding And Inhalt Generation zu erstellen."
Analyze Career Transition Ziels,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_career_transition_goals.md,de/ai4_textanalyse/analyze_career_transition_goals.md,"Hilft dabei, Analyze Career Transition Ziels zu erstellen."
Analyze Claims,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_claims.md,de/ai4_textanalyse/analyze_claims.md,"Hilft dabei, Analyze Claims zu erstellen."
Analyze Inhalt For New Insights,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_content_for_new_insights.md,de/ai4_textanalyse/analyze_content_for_new_insights.md,"Hilft dabei, Analyze Inhalt For New Insights zu erstellen."
Analyze Contract Compliance,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_contract_compliance.md,de/ai4_textanalyse/analyze_contract_compliance.md,"Hilft dabei, Analyze Contract Compliance zu erstellen."
Analyze Cryptocurrency Projekt,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_cryptocurrency_project.md,de/ai4_textanalyse/analyze_cryptocurrency_project.md,"Hilft dabei, Analyze Cryptocurrency Projekt zu erstellen."
Analyze Customer Service Interaction,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_customer_service_interaction.md,de/ai4_textanalyse/analyze_customer_service_interaction.md,"Hilft dabei, Analyze Customer Service Interaction zu erstellen."
Analyze Data Breach Implications,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_data_breach_implications.md,de/ai4_textanalyse/analyze_data_breach_implications.md,"Hilft dabei, Analyze Data Breach Implications zu erstellen."
Analyze Data Breaches,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_data_breaches.md,de/ai4_textanalyse/analyze_data_breaches.md,"Hilft dabei, Analyze Data Breaches zu erstellen."
Analyze Data Insights,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_data_insights.md,de/ai4_textanalyse/analyze_data_insights.md,"Hilft dabei, Analyze Data Insights zu erstellen."
IDENTITY and PURPOSE,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_debate.md,de/ai4_textanalyse/analyze_debate.md,"Hilft dabei, IDENTITY and PURPOSE zu erstellen."
Analyze Diet Impact,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_diet_impact.md,de/ai4_textanalyse/analyze_diet_impact.md,"Hilft dabei, Analyze Diet Impact zu erstellen."
Analyze Funding Solicitation,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_funding_solicitation.md,de/ai4_textanalyse/analyze_funding_solicitation.md,"Hilft dabei, Analyze Funding Solicitation zu erstellen."
Analyze Ikigai,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_ikigai.md,de/ai4_textanalyse/analyze_ikigai.md,"Hilft dabei, Analyze Ikigai zu erstellen."
Analyze Incident,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_incident.md,de/ai4_textanalyse/analyze_incident.md,"Hilft dabei, Analyze Incident zu erstellen."
Analyze Instagram Profile,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_instagram_profile.md,de/ai4_textanalyse/analyze_instagram_profile.md,"Hilft dabei, Analyze Instagram Profile zu erstellen."
Analyze Investment Opportunities,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_investment_opportunities.md,de/ai4_textanalyse/analyze_investment_opportunities.md,"Hilft dabei, Analyze Investment Opportunities zu erstellen."
Analyze Itsm Issues,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_itsm_issues.md,de/ai4_textanalyse/analyze_itsm_issues.md,"Hilft dabei, Analyze Itsm Issues zu erstellen."
Analyze Ledger Accuracy,AI 4 Textanalyse,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_textanalyse/analyze_ledger_accuracy.md,de/ai4_textanalyse/analyze_ledger_accuracy.md,"Hilft dabei, Analyze Ledger Accuracy zu erstellen."
